Field=#~Integer~#~50|Field=Designator~String~Designator~240|Field=Value~String~Value~60|Field=Quantity~Integer~Quantity~60|Field=MFG~String~MFG~60|Field=MFGPN~String~MFGPN~60|Field=Footprint~String~Footprint~170|Field=Version~String~Version~25|Field=Description~String~Description~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~HHKB_3_0.PrjPcb|ReportField=ProjectFullPath~C:\Users\Stefan\Documents\git\hhkb_controller\HHKB_3_0.PrjPcb|ReportField=Title~Bill of Materials For Project [HHKB_3_0.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~146|ReportField=ReportTime~14:23:28|ReportField=ReportDate~2019-08-15|ReportField=ReportDateTime~2019-08-15 14:23:28|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2019-08-15|ReportField=CurrentTime~14:19:38|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Stefan\Documents\git\hhkb_controller\1_top_sheet.SchDoc|ReportField=DocumentName~1_top_sheet.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2019-03-24|ReportField=Organization~|ReportField=ProjectName~HHKB_3_0.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~HHKB_3_0.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Stefan\Documents\git\hhkb_controller\HHKB_3_0.PrjPcb|ReportField=PCBDataSourceFileName~pcb.PcbDoc|ReportField=PCBDataSourceFullPath~C:\Users\Stefan\Documents\git\hhkb_controller\pcb.PcbDoc|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C201, C202|18pF|2|KEMET||C0603[1608]|0603 imperial|Capacitor
2|C203, C501, C503, C702, C709|1uF|5|KEMET||C0603[1608]|0603 imperial, 0603 imperial, 0603 imperial, [NoValue], 0603 imperiaal|Capacitor
3|C204, C212, C507|10uF|3|KEMET||C1206[3216]|1206 imperial|Capacitor
4|C205, C206, C207, C208, C209, C210, C213, C215, C217, C302, C303, C305, C306, C308, C309|0.1uF|15|KEMET||C0402[1005]|0402 imperial|Capacitor
5|C211, C214, C216, C301, C304, C307, C401, C404, C407, C502, C505, C607, C701, C705, C706, C707, C708, C710, C711, C712, C713, C714, C715, C716, C717, C718, C719, C720, C721, C723, C724|0.1uF|31|KEMET||C0603[1608]|0603 imperial|Capacitor
6|C310, C311, C312|150uF|3|United Chemi-Con|EMVA100ADA151MF55G|C_9G_9H|SMD - 9G or 9H|Capacitor
7|C402, C405, C408|4.7uF|3|KEMET||C1206[3216]|1206 imperial|Capacitor
8|C403, C406, C409|22uF|3|KEMET||C1206[3216]|1206 imperial|Capacitor
9|C504|2.2uF|1|KEMET||C1206[3216]|1206 imperial|Capacitor
10|C506, C703, C704|15pF|3|KEMET||C0603[1608]|0603 imperial|Capacitor
11|C601|0.1uF|1|KEMET|C0402C104K8PACTU|C0603[1608]|0603 imperial|Capacitor
12|C603, C604, C605, C606|0.1uF|4|KEMET|C0402C104K8PACTU|C0402[1005]|0402 imperial|Capacitor
13|CON301, CON302, CON303||3|Wurth Electronics Inc|692122030100|WURTH 692122030100||
14|CON602||1|Wurth Electronics Inc|632723300011|Wurth 632723300011||
15|CON701||1|JST Sales America Inc|S13B-ZR-SM4A-TF(LF)(SN)|JST S13B-ZR-SM4A-TF(LF)(SN)||Header, 14-Pin
16|CON703||1|||DF14A-15P-1.25H||
17|D301, D302, D303, D304, D305, D306, D307, D308, D309, D601, D602, D604||12|Texas Instruments|TPD2EUSB30ADRTR|TPD2EUSB30A||
18|D603||1|Comchip Technology||LED0603[1608]|0603 imperial|Default Diode
19|D701||1|Kingbright|WP934EW/YD|KINGBRIGHT WP934EW||Typical RED GaAs LED
20|L301, L302, L303, L304, L305, L306, L601, L602|220 @ 100MHz, 2A|8|Murata Electronics North America|BLM18KG221SN1D|L0603[1608]|0603 imperial|Inductor
