Removed Pin From Net: NetName=SHELD1 Pin=CON602-2
Change component parameters: Designator = "U501" ("U501"); Footprint = "SOT-23-3"; UniqueID = "\PQQEJHMC\OBFWHKWL" ("\PQQEJHMC\OBFWHKWL")
Change component parameters (AddParameter): Name = "JLC"; Value = ""; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC MFG"; Value = "Torex Semicon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part #"; Value = "C5446"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG"; Value = "Texas Instruments"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFGPN"; Value = "TPS7A0533PDBZ"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MRF.Part"; Value = "XC6206P332MR"; VariantName = "[No Variations]"
Change component parameters: Designator = "C310" ("C310"); Footprint = "C_9L_9M"; UniqueID = "\ESSMDVTW\EIBRCBWK" ("\ESSMDVTW\EIBRCBWK")
Change component parameters (AddParameter): Name = "JLC"; Value = "EXTENDED"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC MFG"; Value = "Lelon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part #"; Value = "C250088"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG"; Value = "Würth Elektronik "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFGPN"; Value = "865080349011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MRF.Part"; Value = "OVZ121M1CTR-0807"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "120-150uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Version"; Value = "SMD - 9L or 9M"; VariantName = "[No Variations]"
Change component parameters: Designator = "C311" ("C311"); Footprint = "C_9L_9M"; UniqueID = "\ESSMDVTW\WVTUOECH" ("\ESSMDVTW\WVTUOECH")
Change component parameters (AddParameter): Name = "JLC"; Value = "EXTENDED"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC MFG"; Value = "Lelon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part #"; Value = "C250088"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG"; Value = "Würth Elektronik "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFGPN"; Value = "865080349011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MRF.Part"; Value = "OVZ121M1CTR-0807"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "120-150uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Version"; Value = "SMD - 9L or 9M"; VariantName = "[No Variations]"
Change component parameters: Designator = "C312" ("C312"); Footprint = "C_9L_9M"; UniqueID = "\ESSMDVTW\MGNAKRAW" ("\ESSMDVTW\MGNAKRAW")
Change component parameters (AddParameter): Name = "JLC"; Value = "EXTENDED"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC MFG"; Value = "Lelon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LCSC Part #"; Value = "C250088"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFG"; Value = "Würth Elektronik "; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MFGPN"; Value = "865080349011"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "MRF.Part"; Value = "OVZ121M1CTR-0807"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Value"; Value = "120-150uF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Version"; Value = "SMD - 9L or 9M"; VariantName = "[No Variations]"
